Date,Open,High,Low,Close,Adj Close,Volume,returns
2013-02-14,151.690002,152.470001,151.520004,152.289993,126.482346,80834300,0.0920001567825679
2013-02-15,152.429993,152.589996,151.550003,152.110001,126.332893,215226500,-0.11816115428473495
2013-02-19,152.369995,153.279999,152.160004,153.25,127.279755,95105400,0.7494975991723773
2013-02-20,153.139999,153.190002,151.259995,151.339996,125.693344,160574800,-1.2463969623448756
2013-02-21,150.960007,151.419998,149.940002,150.419998,124.92923,183257000,-0.6079192228348962
2013-02-22,151.149994,151.889999,150.490005,151.889999,126.150192,106356600,0.9773229211450296
2013-02-25,152.630005,152.860001,149.0,149.0,123.749931,245824800,-1.9027010279936807
2013-02-26,149.720001,150.199997,148.729996,150.020004,124.597054,186596200,0.6845442200690943
2013-02-27,149.889999,152.330002,149.759995,151.910004,126.166801,150781900,1.2598588406432132
2013-02-28,151.899994,152.869995,151.410004,151.610001,125.917625,126866000,-0.1974972798113539
2013-03-01,151.089996,152.339996,150.410004,152.110001,126.332893,170634800,0.3297933867478786
2013-03-04,151.759995,152.919998,151.520004,152.919998,127.005585,99010200,0.5324757345658071
2013-03-05,153.660004,154.699997,153.639999,154.289993,128.143463,121431900,0.8959275294861957
2013-03-06,154.839996,154.919998,154.160004,154.5,128.317856,94469900,0.1360919986999276
2013-03-07,154.699997,154.979996,154.520004,154.779999,128.550369,86101400,0.18120081432779767
2013-03-08,155.460007,155.649994,154.660004,155.440002,129.098572,123477800,0.42644996219340925
2013-03-11,155.320007,156.039993,155.130005,156.029999,129.588577,83746800,0.3795588072035283
2013-03-12,155.919998,156.100006,155.210007,155.679993,129.297882,105755800,-0.2243214693220974
2013-03-13,155.759995,156.119995,155.229996,155.899994,129.480591,92550900,0.1413085792078217
2013-03-14,156.309998,156.800003,155.910004,156.729996,130.169952,126329900,0.5324048914790547
2013-03-15,155.850006,156.039993,155.309998,155.830002,129.998138,138601100,-0.13199205911974543
2013-03-18,154.339996,155.639999,154.199997,154.970001,129.280655,126704300,-0.5519179051626244
2013-03-19,155.300003,155.509995,153.589996,154.610001,128.980286,167567300,-0.23233870527651357
2013-03-20,155.520004,155.949997,155.259995,155.690002,129.881332,113759300,0.6985920313434368
2013-03-21,154.759995,155.639999,154.100006,154.360001,128.771805,128605000,-0.8542621044262066
2013-03-22,154.850006,155.600006,154.729996,155.600006,129.806198,111163600,0.8032759966360548
2013-03-25,156.009995,156.270004,154.350006,154.949997,129.263947,151322300,-0.41773891259028195
2013-03-26,155.589996,156.229996,155.419998,156.190002,130.298462,86856600,0.8003120932087882
2013-03-27,155.259995,156.240005,155.0,156.190002,130.298462,99950600,0.0001
2013-03-28,156.089996,156.850006,155.75,156.669998,130.698853,102932800,0.30728758717044613
2013-04-01,156.589996,156.910004,155.669998,156.050003,130.181656,99194100,-0.3957165561353504
2013-04-02,156.610001,157.210007,156.369995,156.820007,130.824005,101504300,0.49342512588717025
2013-04-03,156.910004,157.029999,154.820007,155.229996,129.497543,154167400,-1.0139285981957125
2013-04-04,155.429993,156.169998,155.089996,155.860001,130.023163,131885000,0.4058918708596648
2013-04-05,153.949997,155.350006,153.770004,155.160004,129.439148,159666000,-0.4491622773397874
2013-04-08,155.270004,156.220001,154.75,156.210007,130.315125,86571200,0.6767481195101954
2013-04-09,156.5,157.320007,155.979996,156.75,130.76564,101922200,0.3457119808617737
2013-04-10,157.169998,158.869995,157.130005,158.669998,132.367355,135711100,1.2248745159661345
2013-04-11,158.699997,159.710007,158.539993,159.190002,132.801178,110142500,0.3277416852516257
2013-04-12,158.679993,159.039993,157.919998,158.800003,132.475754,116359900,-0.24504601909479673
2013-04-15,158.0,158.130005,155.100006,155.119995,129.405792,217259000,-2.317376506496427
2013-04-16,156.289993,157.490005,155.910004,157.410004,131.316223,147507800,1.476310272109016
2013-04-17,156.289993,156.320007,154.279999,155.110001,129.397461,226834800,-1.4611766590332254
2013-04-18,155.369995,155.410004,153.550003,154.139999,128.588272,167583200,-0.6253515283425881
2013-04-19,154.5,155.550003,154.119995,155.479996,129.706161,149687600,0.8693553328098291
2013-04-22,155.779999,156.539993,154.75,156.169998,130.281754,106553500,0.44376689246088397
2013-04-23,156.949997,157.929993,156.169998,157.779999,131.624863,166141300,1.0309264027869913
2013-04-24,157.830002,158.300003,157.539993,157.880005,131.708282,96781200,0.0633763242739338
2013-04-25,158.339996,159.270004,158.100006,158.520004,132.242218,131060600,0.4053928818234853
2013-04-26,158.330002,158.600006,157.729996,158.240005,132.008591,95918800,-0.1766659721330499
2013-04-29,158.669998,159.649994,158.419998,159.300003,132.892914,88572800,0.6698980674674448
2013-04-30,159.270004,159.720001,158.610001,159.679993,133.2099,116010700,0.23852739055749694
2013-05-01,159.330002,159.410004,158.100006,158.279999,132.041992,138874200,-0.876742644503159
2013-05-02,158.679993,159.889999,158.529999,159.75,133.26828,96407600,0.928710618058548
2013-05-03,161.139999,161.880005,159.779999,161.369995,134.619751,144202300,1.0140980284280676
2013-05-06,161.490005,162.009995,161.419998,161.779999,134.961761,66882100,0.25405633085742174
2013-05-07,162.130005,162.649994,161.669998,162.600006,135.645874,90359200,0.5068939490201263
2013-05-08,162.419998,163.389999,162.330002,163.339996,136.263168,97419200,0.45507760892160576
2013-05-09,163.270004,163.699997,162.470001,162.880005,135.87944,106738600,-0.2816080131059495
2013-05-10,162.990005,163.550003,162.509995,163.410004,136.321579,103203000,0.32539065512782184
2013-05-13,163.199997,163.809998,162.820007,163.539993,136.430008,81843200,0.07953913151195202
2013-05-14,163.669998,165.350006,163.669998,165.229996,137.839874,119000900,1.0333987519813181
2013-05-15,164.960007,166.449997,164.910004,166.119995,138.582306,120718500,0.5386191806878715
2013-05-16,165.779999,166.360001,165.089996,165.339996,137.931641,109913600,-0.4695152063640573
2013-05-17,165.949997,167.039993,165.729996,166.940002,139.266434,129801000,0.9677206696902863
2013-05-20,166.779999,167.580002,166.610001,166.929993,139.258011,85071200,-0.0060481192474481915
2013-05-21,167.080002,167.800003,166.5,167.169998,139.458237,95804200,0.14378059729718284
2013-05-22,167.339996,169.070007,165.169998,165.929993,138.423843,244031800,-0.7417231296276805
2013-05-23,164.160004,165.910004,163.940002,165.449997,138.023407,211064400,-0.2892825335011229
2013-05-24,164.470001,165.380005,163.979996,165.309998,137.906616,151573900,-0.0846168070608333
2013-05-28,167.039993,167.779999,165.809998,166.300003,138.732483,143679800,0.5988595935092711
2013-05-29,165.419998,165.800003,164.339996,165.220001,137.831528,160363400,-0.6494189251986526
2013-05-30,165.350006,166.589996,165.220001,165.830002,138.340393,107793800,0.36919346929100705
2013-05-31,165.369995,166.309998,163.130005,163.449997,136.354919,176850100,-1.4352091655544186
2013-06-03,163.830002,164.460007,162.660004,164.350006,137.105743,168390700,0.5506394675794501
2013-06-04,164.440002,165.100006,162.729996,163.559998,136.446732,157631500,-0.48065893198944165
2013-06-05,163.089996,163.419998,161.130005,161.270004,134.536331,211737800,-1.400107552594232
2013-06-06,161.199997,162.740005,160.25,162.729996,135.754272,200225500,0.9052878066074133
2013-06-07,163.850006,164.949997,163.139999,164.800003,137.481125,188337800,1.2720432105444157
2013-06-10,165.309998,165.399994,164.369995,164.800003,137.481125,105667100,0.0001
2013-06-11,163.300003,164.539993,162.740005,163.100006,136.062958,159505400,-1.031535783548454
2013-06-12,164.220001,164.389999,161.600006,161.75,134.936783,177361500,-0.8276866948607853
2013-06-13,161.660004,164.5,161.300003,164.210007,136.988922,163587800,1.5208151212557253
2013-06-14,164.029999,164.669998,162.910004,163.179993,136.12973,141197500,-0.6271981613228617
2013-06-17,164.289993,165.220001,163.220001,164.440002,137.180801,136295600,0.7721098102523305
2013-06-18,164.529999,165.990005,164.520004,165.740005,138.265305,114695600,0.7905654377976745
2013-06-19,165.600006,165.889999,163.380005,163.449997,136.354919,206149500,-1.3816813986704868
2013-06-20,161.860001,163.470001,158.979996,159.399994,132.976349,321255900,-2.4777763976376987
